Experiment,Model,Threshold,CV_AUC,Test_AUC,Recall,Precision,F1_Score
KNN_Pre_Screen_standard_SMOTE,Logistic Regression,0.15,0.6388,0.5413,1.0,0.071,0.1325
KNN_Pre_Screen_STDs_SMOTE,Logistic Regression,0.15,0.6417,0.5519,1.0,0.071,0.1325
KNN_Pre_Screen_condy_SMOTE,Logistic Regression,0.15,0.6372,0.5466,1.0,0.071,0.1325
KNN_Pre_Screen_standard_NoSMOTE,Logistic Regression,0.25,0.6677,0.6129,1.0,0.0696,0.1302
KNN_Pre_Screen_STDs_NoSMOTE,Logistic Regression,0.25,0.672,0.6164,1.0,0.0696,0.1302
KNN_Pre_Screen_condy_NoSMOTE,Logistic Regression,0.25,0.6644,0.6158,1.0,0.0696,0.1302
MEDIAN_Pre_Screen_STDs_NoSMOTE,Logistic Regression,0.25,0.6597,0.6211,1.0,0.0696,0.1302
MEDIAN_Pre_Screen_standard_NoSMOTE,Logistic Regression,0.15,0.6546,0.654,1.0,0.0671,0.1257
MEDIAN_Pre_Screen_condy_NoSMOTE,Logistic Regression,0.15,0.6512,0.6551,1.0,0.0671,0.1257
KNN_Pre_Screen_standard_NoSMOTE,Logistic Regression,0.15,0.6677,0.6129,1.0,0.0663,0.1243
KNN_Pre_Screen_standard_SMOTE,XGBoost,0.15,0.7077,0.5636,1.0,0.0663,0.1243
KNN_Pre_Screen_standard_SMOTE,Support Vector Machine,0.15,0.7464,0.7114,1.0,0.0663,0.1243
KNN_Pre_Screen_STDs_NoSMOTE,Logistic Regression,0.15,0.672,0.6164,1.0,0.0663,0.1243
KNN_Pre_Screen_STDs_SMOTE,XGBoost,0.15,0.7069,0.5953,1.0,0.0663,0.1243
KNN_Pre_Screen_STDs_SMOTE,Support Vector Machine,0.15,0.748,0.7173,1.0,0.0663,0.1243
KNN_Pre_Screen_condy_NoSMOTE,Logistic Regression,0.15,0.6644,0.6158,1.0,0.0663,0.1243
KNN_Pre_Screen_condy_SMOTE,XGBoost,0.15,0.7079,0.6117,1.0,0.0663,0.1243
KNN_Pre_Screen_condy_SMOTE,Support Vector Machine,0.15,0.7457,0.7191,1.0,0.0663,0.1243
MEDIAN_Pre_Screen_standard_SMOTE,Logistic Regression,0.15,0.6307,0.5751,1.0,0.0663,0.1243
MEDIAN_Pre_Screen_standard_SMOTE,Logistic Regression,0.25,0.6307,0.5751,1.0,0.0663,0.1243
MEDIAN_Pre_Screen_standard_SMOTE,Logistic Regression,0.35,0.6307,0.5751,1.0,0.0663,0.1243
MEDIAN_Pre_Screen_standard_SMOTE,XGBoost,0.15,0.6562,0.627,1.0,0.0663,0.1243
MEDIAN_Pre_Screen_standard_SMOTE,Support Vector Machine,0.15,0.7301,0.7073,1.0,0.0663,0.1243
MEDIAN_Pre_Screen_STDs_NoSMOTE,Logistic Regression,0.15,0.6597,0.6211,1.0,0.0663,0.1243
MEDIAN_Pre_Screen_STDs_SMOTE,Logistic Regression,0.15,0.6336,0.6026,1.0,0.0663,0.1243
MEDIAN_Pre_Screen_STDs_SMOTE,Logistic Regression,0.25,0.6336,0.6026,1.0,0.0663,0.1243
MEDIAN_Pre_Screen_STDs_SMOTE,Logistic Regression,0.35,0.6336,0.6026,1.0,0.0663,0.1243
MEDIAN_Pre_Screen_STDs_SMOTE,XGBoost,0.15,0.6745,0.6317,1.0,0.0663,0.1243
MEDIAN_Pre_Screen_STDs_SMOTE,Support Vector Machine,0.15,0.735,0.7132,1.0,0.0663,0.1243
MEDIAN_Pre_Screen_condy_SMOTE,Logistic Regression,0.15,0.6289,0.5762,1.0,0.0663,0.1243
